Date,Open,High,Low,Close,Adj Close,Volume
2007-01-12,100.000000,100.000000,99.949997,99.949997,66.623276,40300
2007-01-16,99.930000,99.930000,99.930000,99.930000,66.609947,14000
2007-01-17,99.930000,99.930000,99.930000,99.930000,66.609947,0
2007-01-18,99.839996,99.989998,99.839996,99.989998,66.649940,11000
2007-01-19,99.989998,99.989998,99.900002,99.959999,66.629959,1800
2007-01-22,99.989998,100.019997,99.970001,100.019997,66.669907,1300
2007-01-23,99.900002,99.900002,99.820000,99.820000,66.536652,200
2007-01-24,99.860001,99.860001,99.860001,99.860001,66.563278,9200
2007-01-25,99.790001,99.790001,99.580002,99.580002,66.376610,3600
2007-01-26,99.540001,99.550003,99.529999,99.529999,66.343338,4200
2007-01-29,99.540001,99.540001,99.540001,99.540001,66.349960,1700
2007-01-30,99.540001,99.699997,99.540001,99.699997,66.456612,500
2007-01-31,99.699997,99.699997,99.699997,99.699997,66.456612,0
2007-02-01,99.959999,100.160004,99.650002,99.650002,66.593002,2500
2007-02-02,99.650002,99.650002,99.650002,99.650002,66.593002,0
2007-02-05,99.760002,99.760002,99.760002,99.760002,66.666504,2000
2007-02-06,99.849998,100.080002,99.849998,100.080002,66.880325,7100
2007-02-07,100.129997,100.129997,100.129997,100.129997,66.913757,2600
2007-02-08,100.129997,100.129997,100.129997,100.129997,66.913757,0
2007-02-09,100.070000,100.070000,100.070000,100.070000,66.873611,600
2007-02-12,100.250000,100.250000,100.000000,100.000000,66.826859,9600
2007-02-13,100.099998,100.120003,100.000000,100.000000,66.826859,1700
2007-02-14,100.160004,100.239998,100.160004,100.239998,66.987244,4500
2007-02-15,100.610001,100.610001,100.500000,100.599998,67.227814,1200
2007-02-16,100.599998,100.599998,100.599998,100.599998,67.227814,0
2007-02-20,100.599998,100.599998,100.599998,100.599998,67.227814,0
2007-02-21,100.580002,100.610001,100.550003,100.610001,67.234474,900
2007-02-22,100.529999,100.529999,100.419998,100.430000,67.114174,2100
2007-02-23,100.620003,100.709999,100.620003,100.709999,67.301315,3900
2007-02-26,100.870003,100.919998,100.830002,100.919998,67.441666,3400
2007-02-27,101.199997,101.199997,101.110001,101.199997,67.628792,1300
2007-02-28,101.449997,101.449997,100.699997,101.260002,67.668861,28200
2007-03-01,101.099998,101.099998,100.919998,100.919998,67.702393,2200
2007-03-02,100.930000,101.099998,100.930000,101.099998,67.823151,4600
2007-03-05,101.099998,101.099998,101.089996,101.089996,67.816460,1100
2007-03-06,101.059998,101.059998,101.059998,101.059998,67.796288,200
2007-03-07,101.089996,101.099998,101.089996,101.099998,67.823151,800
2007-03-08,101.070000,101.070000,101.029999,101.029999,67.776222,1300
2007-03-09,100.639999,100.820000,100.639999,100.669998,67.534721,10800
2007-03-12,100.900002,100.989998,100.860001,100.870003,67.668831,10600
2007-03-13,101.150002,101.160004,101.019997,101.160004,67.863411,8400
2007-03-14,101.050003,101.349998,100.839996,101.059998,67.796288,15800
2007-03-15,101.050003,101.129997,101.040001,101.070000,67.803055,5400
2007-03-16,100.989998,101.029999,100.989998,101.029999,67.776222,2200
2007-03-19,100.940002,100.940002,100.940002,100.940002,67.715836,100
2007-03-20,101.010002,101.139999,100.970001,101.010002,67.762794,13700
2007-03-21,101.000000,101.290001,100.889999,101.290001,67.950623,12400
2007-03-22,101.059998,101.070000,100.930000,100.930000,67.709129,2600
2007-03-23,100.910004,100.930000,100.860001,100.879997,67.675591,4900
2007-03-26,100.989998,100.989998,100.970001,100.970001,67.735916,600
2007-03-27,100.900002,100.910004,100.900002,100.910004,67.695694,2300
2007-03-28,100.839996,100.839996,100.779999,100.790001,67.615166,7900
2007-03-29,100.860001,100.860001,100.790001,100.790001,67.615166,2100
2007-03-30,100.739998,100.980003,100.699997,100.849998,67.655472,17000
2007-04-02,100.519997,100.519997,100.389999,100.400002,67.634529,6800
2007-04-03,100.239998,100.239998,100.169998,100.169998,67.479630,1500
2007-04-04,100.480003,100.510002,100.480003,100.500000,67.701942,900
2007-04-05,100.489998,100.489998,100.400002,100.400002,67.634529,600
2007-04-09,100.010002,100.160004,99.940002,100.080002,67.418999,5000
2007-04-10,100.209999,100.209999,100.120003,100.120003,67.445961,1100
2007-04-11,100.290001,100.290001,100.120003,100.120003,67.445961,4100
2007-04-12,99.970001,99.970001,99.970001,99.970001,67.344887,4000
2007-04-13,100.510002,100.510002,100.029999,100.169998,67.479630,15500
2007-04-16,100.080002,100.129997,100.080002,100.129997,67.452705,2700
2007-04-17,100.320000,100.339996,100.320000,100.339996,67.594093,1300
2007-04-18,100.550003,100.559998,100.519997,100.559998,67.742325,1800
2007-04-19,100.629997,100.660004,100.550003,100.660004,67.809723,3900
2007-04-20,100.419998,100.589996,100.370003,100.589996,67.762558,300
2007-04-23,100.599998,100.650002,100.599998,100.650002,67.803009,200
2007-04-24,100.830002,100.830002,100.720001,100.750000,67.870316,4200
2007-04-25,100.800003,100.809998,100.720001,100.720001,67.850189,600
2007-04-26,100.529999,100.550003,100.519997,100.519997,67.715408,2200
2007-04-27,100.570000,100.570000,100.510002,100.510002,67.708679,200
2007-04-30,100.709999,100.769997,100.669998,100.769997,67.883812,5100
2007-05-01,100.500000,100.570000,100.320000,100.419998,67.925079,7500
2007-05-02,100.500000,100.500000,100.389999,100.400002,67.911560,2900
2007-05-03,100.400002,100.400002,100.239998,100.269997,67.823616,3000
2007-05-04,100.269997,100.269997,100.269997,100.269997,67.823616,0
2007-05-07,100.589996,101.050003,100.300003,100.699997,68.114479,98600
2007-05-08,100.599998,100.720001,100.589996,100.660004,68.087387,151000
2007-05-09,100.650002,100.650002,100.510002,100.510002,67.985954,3100
